order_id,customer_id,date,product,category,price,quantity,discount,total_value,payment_method,channel,status,customer_type,gender,city,state,region,shipping_days,rating,is_returning
ORD100240,CUST1033,2025-02-14,Mouse Gamer,Eletrônicos,191.1,1,0.2,152.88,Cartão de Crédito,Marketplace,Cancelado,Recorrente,Masculino,Belo Horizonte,MG,Sudeste,2,2.0,False
ORD100010,CUST1169,2025-02-14,Monitor 27,Eletrônicos,1491.59,1,0.05,1417.01,Pix,Site,Entregue,Novo,Masculino,Porto Alegre,RS,Sul,12,5.0,True
ORD100285,CUST1193,2025-02-16,Chocolate,Alimentos,25.89,1,0.05,24.6,Boleto,Site,Entregue,Novo,Masculino,Rio de Janeiro,RJ,Sudeste,7,5.0,True
ORD100044,CUST1145,2025-02-16,Jaqueta,Roupas,290.94,2,0.05,552.79,Cartão de Crédito,Site,Entregue,Recorrente,Não informado,Brasília,DF,Centro-Oeste,15,5.0,False
ORD100057,CUST1062,2025-02-17,Café Especial,Alimentos,44.83,1,0.0,44.83,Cartão de Crédito,Site,Entregue,Recorrente,Feminino,Recife,PE,Nordeste,8,5.0,True
ORD100049,CUST1022,2025-02-22,Notebook Pro 15,Eletrônicos,4617.17,4,0.15,15698.38,Cartão de Crédito,Aplicativo,Cancelado,Recorrente,Não informado,Brasília,DF,Centro-Oeste,1,4.0,True
ORD100038,CUST1122,2025-02-22,Livro,Livros,71.43,2,0.05,135.72,Boleto,Site,Em transporte,Recorrente,Feminino,Brasília,DF,Centro-Oeste,5,4.0,True
ORD100292,CUST1026,2025-02-23,Mochila,Acessórios,202.48,3,0.2,485.95,Pix,Marketplace,Entregue,Recorrente,Não informado,Fortaleza,CE,Nordeste,5,5.0,False
ORD100004,CUST1001,2025-02-23,Livro,Livros,66.62,3,0.0,199.86,Pix,Aplicativo,Em transporte,Novo,Não informado,Belo Horizonte,MG,Sudeste,2,5.0,False
ORD100002,CUST1107,2025-02-24,Livro,Livros,68.13,2,0.1,122.63,Cartão de Débito,Site,Entregue,Recorrente,Feminino,Fortaleza,CE,Nordeste,3,5.0,False
ORD100187,CUST1187,2025-02-26,Monitor 27,Eletrônicos,1512.07,1,0.2,1209.66,Boleto,Site,Em transporte,Recorrente,Feminino,Curitiba,PR,Sul,14,4.0,True
ORD100195,CUST1167,2025-02-27,Mouse Gamer,Eletrônicos,170.6,2,0.2,272.96,Cartão de Débito,Aplicativo,Entregue,Novo,Não informado,Goiânia,GO,Centro-Oeste,2,,False
ORD100115,CUST1000,2025-02-27,Monitor 27,Eletrônicos,1581.54,1,0.0,1581.54,Cartão de Débito,Aplicativo,Entregue,Recorrente,Masculino,Curitiba,PR,Sul,13,4.0,False
ORD100294,CUST1046,2025-03-04,Mesa Escritório,Móveis,1290.59,1,0.15,1097.0,Cartão de Crédito,Site,Em transporte,Recorrente,Feminino,Porto Alegre,RS,Sul,11,4.0,True
ORD100213,CUST1172,2025-03-08,Fone Bluetooth,Eletrônicos,230.21,4,0.1,828.76,Pix,Aplicativo,Em transporte,Recorrente,Masculino,Goiânia,GO,Centro-Oeste,11,5.0,False
ORD100186,CUST1099,2025-03-11,Teclado Mecânico,Eletrônicos,347.07,1,0.15,295.01,Pix,Aplicativo,Cancelado,Recorrente,Não informado,Goiânia,GO,Centro-Oeste,2,5.0,False
ORD100197,CUST1084,2025-03-13,Tênis Esportivo,Roupas,399.57,2,0.1,719.23,Boleto,Site,Cancelado,Recorrente,Não informado,Salvador,BA,Nordeste,14,4.0,True
ORD100157,CUST1013,2025-03-14,Mesa Escritório,Móveis,1273.42,3,0.2,3056.21,Boleto,Site,Em transporte,Recorrente,Masculino,Fortaleza,CE,Nordeste,11,5.0,True
ORD100279,CUST1168,2025-03-14,Tênis Esportivo,Roupas,368.19,2,0.2,589.1,Cartão de Crédito,Aplicativo,Entregue,Recorrente,Feminino,Porto Alegre,RS,Sul,3,,False
ORD100227,CUST1066,2025-03-16,Livro,Livros,76.61,1,0.15,65.12,Cartão de Crédito,Aplicativo,Entregue,Recorrente,Masculino,Goiânia,GO,Centro-Oeste,6,5.0,False
ORD100119,CUST1144,2025-03-17,Notebook Pro 15,Eletrônicos,4183.63,1,0.05,3974.45,Cartão de Crédito,Aplicativo,Entregue,Recorrente,Não informado,Curitiba,PR,Sul,6,5.0,False
ORD100088,CUST1152,2025-03-17,Tênis Esportivo,Roupas,347.11,1,0.2,277.69,Boleto,Site,Cancelado,Recorrente,Masculino,Goiânia,GO,Centro-Oeste,5,4.0,True
ORD100148,CUST1137,2025-03-19,Notebook Pro 15,Eletrônicos,4289.96,2,0.05,8150.92,Cartão de Crédito,Site,Entregue,Novo,Masculino,Curitiba,PR,Sul,9,5.0,True
ORD100053,CUST1050,2025-03-22,Notebook Pro 15,Eletrônicos,4030.29,4,0.1,14509.04,Cartão de Crédito,Site,Entregue,Recorrente,Masculino,Salvador,BA,Nordeste,8,5.0,False
ORD100013,CUST1183,2025-03-22,Monitor 27,Eletrônicos,1536.28,1,0.05,1459.47,Boleto,Site,Entregue,Recorrente,Masculino,Porto Alegre,RS,Sul,12,2.0,True
ORD100290,CUST1064,2025-03-24,Mochila,Acessórios,198.09,1,0.1,178.28,Pix,Site,Em transporte,Recorrente,Feminino,Goiânia,GO,Centro-Oeste,15,4.0,False
ORD100260,CUST1004,2025-03-25,Livro,Livros,72.66,3,0.0,217.98,Cartão de Débito,Site,Entregue,Recorrente,Masculino,Recife,PE,Nordeste,1,5.0,False
ORD100140,CUST1002,2025-03-26,Camiseta,Roupas,92.15,3,0.2,221.16,Pix,Aplicativo,Entregue,Recorrente,Feminino,Belo Horizonte,MG,Sudeste,13,4.0,False
ORD100178,CUST1136,2025-03-27,Teclado Mecânico,Eletrônicos,363.15,1,0.05,344.99,Pix,Aplicativo,Cancelado,Recorrente,Masculino,Porto Alegre,RS,Sul,12,5.0,True
ORD100168,CUST1068,2025-03-28,Mesa Escritório,Móveis,1096.0,4,0.0,4384.0,Cartão de Crédito,Site,Cancelado,Recorrente,Feminino,São Paulo,SP,Sudeste,7,5.0,True
ORD100278,CUST1126,2025-03-29,Notebook Pro 15,Eletrônicos,3924.55,4,0.0,15698.2,Pix,Marketplace,Entregue,Recorrente,Não informado,São Paulo,SP,Sudeste,11,5.0,True
ORD100196,CUST1022,2025-03-30,Mesa Escritório,Móveis,1271.6,1,0.1,1144.44,Boleto,Aplicativo,Em transporte,Recorrente,Não informado,São Paulo,SP,Sudeste,5,5.0,True
ORD100267,CUST1159,2025-03-30,Mochila,Acessórios,240.01,4,0.05,912.04,Cartão de Crédito,Marketplace,Entregue,Novo,Não informado,Curitiba,PR,Sul,4,3.0,True
ORD100137,CUST1168,2025-03-30,Chocolate,Alimentos,24.09,1,0.2,19.27,Cartão de Débito,Site,Entregue,Novo,Feminino,Rio de Janeiro,RJ,Sudeste,13,4.0,True
ORD100296,CUST1119,2025-04-01,Livro,Livros,71.63,3,0.05,204.15,Pix,Marketplace,Entregue,Recorrente,Masculino,Salvador,BA,Nordeste,1,5.0,False
ORD100298,CUST1078,2025-04-02,Mouse Gamer,Eletrônicos,185.38,2,0.0,370.76,Pix,Aplicativo,Cancelado,Recorrente,Masculino,Fortaleza,CE,Nordeste,11,5.0,True
ORD100125,CUST1034,2025-04-03,Mouse Gamer,Eletrônicos,185.41,1,0.05,176.14,Pix,Marketplace,Entregue,Recorrente,Feminino,Brasília,DF,Centro-Oeste,7,4.0,False
ORD100009,CUST1051,2025-04-06,Livro,Livros,64.51,1,0.1,58.06,Cartão de Débito,Aplicativo,Entregue,Novo,Não informado,Fortaleza,CE,Nordeste,7,4.0,False
ORD100032,CUST1146,2025-04-06,Tênis Esportivo,Roupas,345.44,2,0.1,621.79,Cartão de Crédito,Site,Entregue,Novo,Não informado,Curitiba,PR,Sul,2,1.0,False
ORD100284,CUST1133,2025-04-07,Notebook Pro 15,Eletrônicos,4076.49,1,0.15,3465.02,Cartão de Crédito,Site,Entregue,Recorrente,Masculino,Brasília,DF,Centro-Oeste,5,2.0,False
ORD100015,CUST1143,2025-04-07,Mouse Gamer,Eletrônicos,197.4,2,0.1,355.32,Cartão de Crédito,Marketplace,Entregue,Recorrente,Feminino,Salvador,BA,Nordeste,3,5.0,False
ORD100048,CUST1176,2025-04-08,Teclado Mecânico,Eletrônicos,382.89,4,0.0,1531.56,Cartão de Crédito,Marketplace,Entregue,Recorrente,Feminino,Fortaleza,CE,Nordeste,5,2.0,False
ORD100103,CUST1008,2025-04-09,Mouse Gamer,Eletrônicos,196.89,2,0.2,315.02,Cartão de Débito,Aplicativo,Entregue,Novo,Feminino,Brasília,DF,Centro-Oeste,11,4.0,False
ORD100266,CUST1021,2025-04-11,Camiseta,Roupas,84.2,1,0.1,75.78,Boleto,Site,Entregue,Novo,Não informado,Brasília,DF,Centro-Oeste,12,5.0,True
ORD100096,CUST1115,2025-04-13,Fone Bluetooth,Eletrônicos,272.21,1,0.05,258.6,Cartão de Crédito,Aplicativo,Entregue,Recorrente,Não informado,Salvador,BA,Nordeste,12,3.0,True
ORD100239,CUST1190,2025-04-14,Jaqueta,Roupas,299.37,4,,1197.48,Boleto,Site,Entregue,Recorrente,Masculino,Recife,PE,Nordeste,14,4.0,False
ORD100024,CUST1016,2025-04-14,Cadeira Office,Móveis,863.15,4,0.05,3279.97,Cartão de Crédito,Site,Entregue,Recorrente,Masculino,Rio de Janeiro,RJ,Sudeste,7,4.0,False
ORD100223,CUST1181,2025-04-17,Livro,Livros,63.94,4,0.0,255.76,Pix,Marketplace,Cancelado,Novo,Não informado,Recife,PE,Nordeste,9,4.0,False
ORD100203,CUST1068,2025-04-18,Fone Bluetooth,Eletrônicos,257.56,1,,244.68,Boleto,Aplicativo,Entregue,Recorrente,Não informado,Rio de Janeiro,RJ,Sudeste,3,2.0,False
ORD100027,CUST1059,2025-04-18,Livro,Livros,67.57,1,0.1,60.81,Cartão de Crédito,Marketplace,Cancelado,Recorrente,Masculino,Curitiba,PR,Sul,13,3.0,False
ORD100229,CUST1144,2025-04-19,Jaqueta,Roupas,268.15,1,0.15,227.93,Cartão de Débito,Aplicativo,Em transporte,Recorrente,Feminino,Recife,PE,Nordeste,5,4.0,False
ORD100207,CUST1082,2025-04-20,Mesa Escritório,Móveis,1311.9,3,0.0,3935.7,Boleto,Marketplace,Entregue,Recorrente,Não informado,Salvador,BA,Nordeste,9,5.0,False
ORD100253,CUST1162,2025-04-21,Mouse Gamer,Eletrônicos,187.54,1,0.2,150.03,Pix,Site,Entregue,Recorrente,Masculino,Salvador,BA,Nordeste,4,1.0,False
ORD100231,CUST1140,2025-04-21,Teclado Mecânico,Eletrônicos,326.57,2,0.05,620.48,Pix,Marketplace,Cancelado,Recorrente,,Porto Alegre,RS,Sul,13,5.0,False
ORD100241,CUST1183,2025-04-21,Tênis Esportivo,Roupas,347.54,2,0.0,695.08,Boleto,Aplicativo,Cancelado,Recorrente,Não informado,Curitiba,PR,Sul,8,4.0,True
ORD100170,CUST1037,2025-04-21,Teclado Mecânico,Eletrônicos,368.51,3,0.2,884.42,Cartão de Débito,Site,Entregue,Recorrente,Feminino,Brasília,DF,Centro-Oeste,9,4.0,True
ORD100051,CUST1056,2025-04-22,Fone Bluetooth,Eletrônicos,252.6,2,0.0,505.2,Boleto,Marketplace,Cancelado,Recorrente,Não informado,Rio de Janeiro,RJ,Sudeste,5,5.0,False
ORD100018,CUST1151,2025-04-26,Mochila,Acessórios,235.68,1,0.05,223.9,Boleto,Site,Entregue,Recorrente,Masculino,Belo Horizonte,MG,Sudeste,8,5.0,True
ORD100252,CUST1048,2025-04-28,Monitor 27,Eletrônicos,1557.69,2,0.05,2959.61,Pix,Aplicativo,Entregue,Novo,Não informado,Brasília,DF,Centro-Oeste,5,5.0,True
ORD100176,CUST1190,2025-04-28,Mesa Escritório,Móveis,1221.68,1,0.15,1038.43,Boleto,Marketplace,Entregue,Novo,Masculino,Curitiba,PR,Sul,7,5.0,False
ORD100244,CUST1011,2025-04-29,Chocolate,Alimentos,26.38,2,0.05,50.12,Boleto,Aplicativo,Entregue,Recorrente,Masculino,Goiânia,GO,Centro-Oeste,8,5.0,True
ORD100171,CUST1121,2025-04-29,Notebook Pro 15,Eletrônicos,4430.69,3,0.1,11962.86,Pix,Marketplace,Entregue,Recorrente,Masculino,Goiânia,GO,Centro-Oeste,5,3.0,False
ORD100208,CUST1018,2025-04-30,Chocolate,Alimentos,26.65,1,0.1,23.98,Pix,Site,Em transporte,Novo,Feminino,Recife,PE,Nordeste,14,2.0,False
ORD100246,CUST1138,2025-05-01,Mouse Gamer,Eletrônicos,164.98,2,0.0,329.96,Cartão de Crédito,Marketplace,Em transporte,Recorrente,Feminino,Brasília,DF,Centro-Oeste,11,5.0,False
ORD100228,CUST1029,2025-05-02,Fone Bluetooth,Eletrônicos,232.35,3,0.05,662.2,Cartão de Crédito,Site,Cancelado,Recorrente,Feminino,Rio de Janeiro,RJ,Sudeste,3,5.0,False
ORD100000,CUST1102,2025-05-02,Cadeira Office,Móveis,950.34,2,0.05,1805.65,Boleto,Marketplace,Cancelado,Recorrente,Não informado,Goiânia,GO,Centro-Oeste,8,4.0,True
ORD100029,CUST1057,2025-05-02,Chocolate,Alimentos,25.94,4,0.0,103.76,Cartão de Crédito,Marketplace,Entregue,Recorrente,Masculino,Porto Alegre,RS,Sul,6,5.0,False
ORD100204,CUST1147,2025-05-04,Smartphone X,Eletrônicos,2901.73,1,0.1,2611.56,Cartão de Crédito,Marketplace,Entregue,Recorrente,Não informado,Rio de Janeiro,RJ,Sudeste,3,5.0,False
ORD100146,CUST1120,2025-05-05,Jaqueta,Roupas,288.21,1,0.0,288.21,Pix,Site,Entregue,Recorrente,Não informado,Recife,PE,Nordeste,5,4.0,False
ORD100016,CUST1160,2025-05-08,Fone Bluetooth,Eletrônicos,242.43,1,0.05,230.31,Boleto,Aplicativo,Em transporte,Recorrente,Feminino,Fortaleza,CE,Nordeste,11,4.0,True
ORD100006,CUST1087,2025-05-09,Jaqueta,Roupas,256.17,2,0.15,435.49,Cartão de Débito,Marketplace,Entregue,Recorrente,Não informado,Recife,PE,Nordeste,1,5.0,False
ORD100132,CUST1077,2025-05-10,Livro,Livros,64.57,2,0.05,122.68,Cartão de Crédito,Marketplace,Entregue,Novo,Masculino,Curitiba,PR,Sul,13,5.0,True
ORD100008,CUST1100,2025-05-11,Jaqueta,Roupas,283.43,3,0.05,807.78,Cartão de Crédito,Site,Entregue,Recorrente,Não informado,Salvador,BA,Nordeste,15,4.0,True
ORD100163,CUST1085,2025-05-13,Café Especial,Alimentos,44.23,4,0.05,168.07,Pix,Marketplace,Cancelado,Recorrente,Masculino,Belo Horizonte,MG,Sudeste,11,4.0,False
ORD100201,CUST1115,2025-05-14,Chocolate,Alimentos,24.18,1,0.15,20.55,Boleto,Site,Entregue,Recorrente,Masculino,Brasília,DF,Centro-Oeste,15,5.0,True
ORD100153,CUST1144,2025-05-16,Cadeira Office,Móveis,891.07,3,0.2,2138.57,Cartão de Débito,Marketplace,Em transporte,Recorrente,Masculino,Fortaleza,CE,Nordeste,13,3.0,False
ORD100143,CUST1034,2025-05-16,Teclado Mecânico,Eletrônicos,380.07,3,0.05,1083.2,Cartão de Débito,Aplicativo,Em transporte,Recorrente,Masculino,Goiânia,GO,Centro-Oeste,2,4.0,False
ORD100199,CUST1031,2025-05-17,Mesa Escritório,Móveis,1155.16,2,0.05,2194.8,Cartão de Débito,Marketplace,Entregue,Recorrente,Não informado,Brasília,DF,Centro-Oeste,1,4.0,False
ORD100065,CUST1125,2025-05-19,Notebook Pro 15,Eletrônicos,4022.45,1,0.2,3217.96,Boleto,Site,Cancelado,Recorrente,Não informado,São Paulo,SP,Sudeste,1,4.0,False
ORD100098,CUST1012,2025-05-21,Chocolate,Alimentos,26.85,4,0.05,102.03,Pix,Marketplace,Entregue,Recorrente,Não informado,Rio de Janeiro,RJ,Sudeste,14,4.0,False
ORD100190,CUST1119,2025-05-22,Camiseta,Roupas,81.94,4,0.15,278.6,Cartão de Crédito,Site,Em transporte,Recorrente,Feminino,Goiânia,GO,Centro-Oeste,2,3.0,False
ORD100116,CUST1173,2025-05-25,Mesa Escritório,Móveis,1193.57,4,0.1,4296.85,Cartão de Crédito,Site,Em transporte,Recorrente,Não informado,Rio de Janeiro,RJ,Sudeste,11,5.0,False
ORD100039,CUST1074,2025-05-26,Livro,Livros,75.43,2,0.05,143.32,Boleto,Site,Entregue,Recorrente,Masculino,Fortaleza,CE,Nordeste,12,5.0,False
ORD100028,CUST1157,2025-05-27,Fone Bluetooth,Eletrônicos,273.48,2,0.15,464.92,Cartão de Crédito,Marketplace,Entregue,Recorrente,,Porto Alegre,RS,Sul,7,4.0,True
ORD100161,CUST1098,2025-05-29,Smartphone X,Eletrônicos,2760.99,4,0.0,11043.96,Cartão de Crédito,Aplicativo,Entregue,Recorrente,Não informado,Salvador,BA,Nordeste,7,5.0,True
ORD100174,CUST1140,2025-05-29,Cadeira Office,Móveis,907.92,2,0.0,1815.84,Pix,Aplicativo,Cancelado,Recorrente,Masculino,São Paulo,SP,Sudeste,7,3.0,True
ORD100270,CUST1055,2025-05-29,Café Especial,Alimentos,45.73,2,0.1,82.31,Boleto,Aplicativo,Entregue,Recorrente,Não informado,Recife,PE,Nordeste,13,4.0,False
ORD100090,CUST1028,2025-05-29,Mouse Gamer,Eletrônicos,183.71,1,0.15,156.15,Boleto,Marketplace,Entregue,Recorrente,Feminino,São Paulo,SP,Sudeste,11,4.0,False
ORD100152,CUST1007,2025-05-30,Mouse Gamer,Eletrônicos,178.07,1,0.0,178.07,Cartão de Débito,Aplicativo,Em transporte,Recorrente,Feminino,São Paulo,SP,Sudeste,13,5.0,False
ORD100012,CUST1171,2025-06-01,Camiseta,Roupas,93.46,3,0.15,238.32,Boleto,Marketplace,Entregue,Recorrente,Feminino,Recife,PE,Nordeste,4,4.0,False
ORD100194,CUST1019,2025-06-03,Mouse Gamer,Eletrônicos,190.31,1,0.05,180.79,Boleto,Aplicativo,Cancelado,Recorrente,Masculino,Fortaleza,CE,Nordeste,15,4.0,False
ORD100078,CUST1149,2025-06-03,Monitor 27,Eletrônicos,1555.97,2,0.0,3111.94,Cartão de Débito,Aplicativo,Entregue,Novo,Feminino,Curitiba,PR,Sul,7,5.0,False
ORD100058,CUST1108,2025-06-03,Livro,Livros,71.66,3,0.2,171.98,Pix,Marketplace,Entregue,Recorrente,Não informado,Salvador,BA,Nordeste,7,5.0,False
ORD100030,CUST1075,2025-06-03,Teclado Mecânico,Eletrônicos,357.82,2,0.15,608.29,Cartão de Débito,Marketplace,Entregue,Novo,Masculino,São Paulo,SP,Sudeste,9,4.0,True
ORD100245,CUST1092,2025-06-03,Jaqueta,Roupas,252.01,4,0.0,1008.04,Pix,Aplicativo,Entregue,Recorrente,Feminino,São Paulo,SP,Sudeste,7,5.0,False
ORD100262,CUST1094,2025-06-05,Jaqueta,Roupas,296.42,1,0.05,281.6,Cartão de Débito,Aplicativo,Entregue,Novo,Não informado,São Paulo,SP,Sudeste,12,5.0,False
ORD100202,CUST1020,2025-06-05,Mesa Escritório,Móveis,1291.16,3,0.05,3679.81,Cartão de Débito,Aplicativo,Entregue,Recorrente,Feminino,Rio de Janeiro,RJ,Sudeste,5,4.0,False
ORD100254,CUST1118,2025-06-05,Monitor 27,Eletrônicos,1656.81,2,0.0,3313.62,Cartão de Débito,Marketplace,Em transporte,Novo,Masculino,Fortaleza,CE,Nordeste,12,3.0,True
ORD100045,CUST1151,2025-06-05,Fone Bluetooth,Eletrônicos,239.05,1,0.05,227.1,Cartão de Crédito,Aplicativo,Em transporte,Recorrente,Masculino,Porto Alegre,RS,Sul,8,4.0,False
ORD100243,CUST1147,2025-06-09,Cadeira Office,Móveis,915.46,3,0.0,2746.38,Pix,Aplicativo,Em transporte,Recorrente,Masculino,Porto Alegre,RS,Sul,4,4.0,True
ORD100191,CUST1127,2025-06-10,Teclado Mecânico,Eletrônicos,336.61,1,0.05,319.78,Pix,Site,Cancelado,Recorrente,Não informado,Salvador,BA,Nordeste,10,3.0,False
ORD100083,CUST1143,2025-06-14,Livro,Livros,66.4,1,0.05,63.08,Pix,Site,Entregue,Recorrente,Não informado,Salvador,BA,Nordeste,7,5.0,True
ORD100274,CUST1137,2025-06-17,Mochila,Acessórios,213.94,2,0.2,342.3,Boleto,Marketplace,Entregue,Recorrente,Feminino,Recife,PE,Nordeste,13,4.0,False
ORD100237,CUST1193,2025-06-18,Mouse Gamer,Eletrônicos,185.2,1,0.2,148.16,Cartão de Débito,Marketplace,Em transporte,Recorrente,Masculino,Fortaleza,CE,Nordeste,9,,False
ORD100192,CUST1042,2025-06-18,Notebook Pro 15,Eletrônicos,4502.52,2,0.15,7654.28,Boleto,Aplicativo,Entregue,Novo,Feminino,São Paulo,SP,Sudeste,2,3.0,False
ORD100268,CUST1017,2025-06-22,Fone Bluetooth,Eletrônicos,238.78,4,0.05,907.36,Cartão de Débito,Site,Entregue,Recorrente,Feminino,São Paulo,SP,Sudeste,11,4.0,False
ORD100025,CUST1035,2025-06-22,Fone Bluetooth,Eletrônicos,229.08,1,0.15,194.72,Cartão de Débito,Site,Entregue,Recorrente,Masculino,Rio de Janeiro,RJ,Sudeste,14,5.0,True
ORD100089,CUST1198,2025-06-22,Camiseta,Roupas,92.4,1,0.1,83.16,Cartão de Crédito,Aplicativo,Cancelado,Novo,Masculino,Salvador,BA,Nordeste,10,4.0,False
